Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Utara,Lampung,LANSIA,106
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,50
Kab. Lampung Utara,Lampung,PENDIDIK,12
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,2
Kab. Lampung Utara,Lampung,BUMN,7
Kab. Lampung Utara,Lampung,BUMN,1
Kab. Lampung Utara,Lampung,BUMN,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,4
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,2
Kab. Lampung Utara,Lampung,PENDIDIK,14
Kab. Lampung Utara,Lampung,PENDIDIK,15
Kab. Lampung Utara,Lampung,PENDIDIK,0
Kab. Lampung Utara,Lampung,BUMN,8
Kab. Lampung Utara,Lampung,BUMN,1
Kab. Lampung Utara,Lampung,BUMN,2
Kab. Lampung Utara,Lampung,BUMN,2
Kab. Lampung Utara,Lampung,BUMN,1
Kab. Lampung Utara,Lampung,BUMN,5
Kab. Lampung Utara,Lampung,BUMN,1
Kab. Lampung Utara,Lampung,BUMN,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,LANSIA,2
Kab. Lampung Utara,Lampung,LANSIA,6
Kab. Lampung Utara,Lampung,LANSIA,7
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Utara,Lampung,LANSIA,0
Kab. Lampung Utara,Lampung,LANSIA,0
Kab. Lampung Utara,Lampung,KEAMANAN,1
Kab. Lampung Utara,Lampung,BUMN,0
Kab. Lampung Utara,Lampung,BUMN,0
Kab. Lampung Utara,Lampung,BUMN,0
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,2
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,25
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,19
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,108
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,48
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,LANSIA,3
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,277
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,210
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,0
Kab. Lampung Utara,Lampung,LANSIA,0
Kab. Lampung Utara,Lampung,LANSIA,2
Kab. Lampung Utara,Lampung,LANSIA,30
Kab. Lampung Utara,Lampung,PENDIDIK,116
Kab. Lampung Utara,Lampung,PENDIDIK,3
Kab. Lampung Utara,Lampung,PENDIDIK,205
Kab. Lampung Utara,Lampung,PENDIDIK,127
Kab. Lampung Utara,Lampung,PENDIDIK,50
Kab. Lampung Utara,Lampung,PENDIDIK,24
Kab. Lampung Utara,Lampung,PENDIDIK,133
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,6
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,14
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,2
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,60
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,19
Kab. Lampung Utara,Lampung,Menunggu Konfirmasi,2
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,57
Kab. Lampung Utara,Lampung,PENDIDIK,1
Kab. Lampung Utara,Lampung,PENDIDIK,2
Kab. Lampung Utara,Lampung,PENDIDIK,2
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,6
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,9
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,15
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,2
Kab. Lampung Utara,Lampung,PEGAWAI PEMERINTAH,4
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,6
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,12
Kab. Lampung Utara,Lampung,PELAYAN PUBLIK,0
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,1
Kab. Lampung Utara,Lampung,LANSIA,36
Kab. Lampung Utara,Lampung,LANSIA,83
Kab. Lampung Utara,Lampung,LANSIA,4
