Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,5
Kab. Lampung Selatan,Lampung,PEJABAT NEGARA,1
Kab. Lampung Selatan,Lampung,PENDIDIK,1
Kab. Lampung Selatan,Lampung,PENDIDIK,12
Kab. Lampung Selatan,Lampung,PENDIDIK,40
Kab. Lampung Selatan,Lampung,PENDIDIK,9
Kab. Lampung Selatan,Lampung,PENDIDIK,13
Kab. Lampung Selatan,Lampung,PENDIDIK,25
Kab. Lampung Selatan,Lampung,PENDIDIK,1
Kab. Lampung Selatan,Lampung,PENDIDIK,11
Kab. Lampung Selatan,Lampung,PENDIDIK,41
Kab. Lampung Selatan,Lampung,PENDIDIK,0
Kab. Lampung Selatan,Lampung,PENDIDIK,0
Kab. Lampung Selatan,Lampung,PENDIDIK,0
Kab. Lampung Selatan,Lampung,PENDIDIK,1
Kab. Lampung Selatan,Lampung,PENDIDIK,2
Kab. Lampung Selatan,Lampung,PENDIDIK,9
Kab. Lampung Selatan,Lampung,PENDIDIK,7
Kab. Lampung Selatan,Lampung,PENDIDIK,46
Kab. Lampung Selatan,Lampung,PENDIDIK,236
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,4
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,1
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,73
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,7
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,0
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,0
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,4
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,2
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,6
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,5
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,67
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,41
Kab. Lampung Selatan,Lampung,LANSIA,15
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,3
Kab. Lampung Selatan,Lampung,LANSIA,9
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,24
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,17
Kab. Lampung Selatan,Lampung,LANSIA,21
Kab. Lampung Selatan,Lampung,LANSIA,5
Kab. Lampung Selatan,Lampung,LANSIA,62
Kab. Lampung Selatan,Lampung,PEDAGANG PASAR,8
Kab. Lampung Selatan,Lampung,PEDAGANG PASAR,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,21
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,37
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,4
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,4
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,1
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,5
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,POLRI,3
Kab. Lampung Selatan,Lampung,POLRI,0
Kab. Lampung Selatan,Lampung,TNI,3
Kab. Lampung Selatan,Lampung,TNI,12
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,9
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,11
Kab. Lampung Selatan,Lampung,TNI,0
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,WARTAWAN DAN PEKERJA MEDIA,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,34
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,19
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,84
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,84
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,44
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,69
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,36
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,110
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,34
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,121
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,35
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,32
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,92
Kab. Lampung Selatan,Lampung,LANSIA,9
Kab. Lampung Selatan,Lampung,LANSIA,48
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,28
Kab. Lampung Selatan,Lampung,LANSIA,1
