Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Metro,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Mesuji,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Selatan,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Tengah,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Pesawaran,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,27
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Barat,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Selatan,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Tanggamus,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,7
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Tengah,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Barat,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Selatan,REMAJA,6
USIA 12 - 17 TAHUN,Lampung,Kab. Mesuji,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Mesuji,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,6
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Timur,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Tanggamus,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Metro,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Selatan,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Utara,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kab. Tanggamus,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Utara,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kab. Mesuji,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kab. Way Kanan,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Selatan,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kab. Tanggamus,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,3
USIA 12 - 17 TAHUN,Lampung,Kab. Lampung Barat,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,1
USIA 12 - 17 TAHUN,Lampung,Kota Bandar Lampung,REMAJA,2
USIA 12 - 17 TAHUN,Lampung,Kota Metro,REMAJA,1
