Tanggal,Provinsi,Kategori,Divaksin 1,divaksin1 (ribu)
7/21/2021,Lampung,TRANSPORTASI PUBLIK,10,0.01
7/21/2021,Lampung,TRANSPORTASI PUBLIK,2,0.002
7/21/2021,Lampung,MASYARAKAT RENTAN,0,0
7/21/2021,Lampung,MASYARAKAT RENTAN,0,0
7/21/2021,Lampung,MASYARAKAT RENTAN,0,0
7/21/2021,Lampung,PEDAGANG PASAR,0,0
7/21/2021,Lampung,PEDAGANG PASAR,0,0
7/21/2021,Lampung,PEDAGANG PASAR,1,0.001
7/21/2021,Lampung,BUMN,3,0.003
7/21/2021,Lampung,BUMN,1,0.001
7/21/2021,Lampung,BUMN,1,0.001
7/21/2021,Lampung,BUMN,16,0.016
7/21/2021,Lampung,BUMN,6,0.006
7/21/2021,Lampung,KEAMANAN,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,LANSIA,0,0
7/21/2021,Lampung,Menunggu Konfirmasi,3,0.003
7/21/2021,Lampung,Menunggu Konfirmasi,595,0.595
7/21/2021,Lampung,Menunggu Konfirmasi,186,0.186
7/21/2021,Lampung,PEGAWAI PEMERINTAH,3,0.003
7/21/2021,Lampung,PEGAWAI PEMERINTAH,3,0.003
7/21/2021,Lampung,PEGAWAI PEMERINTAH,89,0.089
7/21/2021,Lampung,PEGAWAI PEMERINTAH,19,0.019
7/21/2021,Lampung,LANSIA,7,0.007
7/21/2021,Lampung,LANSIA,5,0.005
7/21/2021,Lampung,LANSIA,10,0.01
7/21/2021,Lampung,LANSIA,36,0.036
7/21/2021,Lampung,PELAYAN PUBLIK,27,0.027
7/21/2021,Lampung,MASYARAKAT UMUM,56,0.056
7/21/2021,Lampung,TRANSPORTASI PUBLIK,1,0.001
7/21/2021,Lampung,SDM KESEHATAN,2,0.002
7/21/2021,Lampung,MASYARAKAT RENTAN,1,0.001
7/21/2021,Lampung,MASYARAKAT UMUM,153,0.153
