Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,1
Kab. Pringsewu,Lampung,LANSIA,3
Kab. Pringsewu,Lampung,LANSIA,2
Kab. Pringsewu,Lampung,SDM KESEHATAN,1
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,1
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,1
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,1
Kab. Pringsewu,Lampung,LANSIA,1
Kab. Pringsewu,Lampung,PENDIDIK,28
Kab. Pringsewu,Lampung,LANSIA,91
Kab. Pringsewu,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pringsewu,Lampung,LANSIA,2
Kab. Pringsewu,Lampung,BUMN,1
Kab. Pringsewu,Lampung,LANSIA,26
Kab. Pringsewu,Lampung,SDM KESEHATAN,3
Kab. Pringsewu,Lampung,SDM KESEHATAN,47
Kab. Pringsewu,Lampung,SDM KESEHATAN,35
Kab. Pringsewu,Lampung,PEGAWAI PEMERINTAH,28
Kab. Pringsewu,Lampung,BUMN,1
Kab. Pringsewu,Lampung,BUMN,1
Kab. Pringsewu,Lampung,BUMN,0
Kab. Pringsewu,Lampung,LANSIA,1
Kab. Pringsewu,Lampung,LANSIA,13
Kab. Pringsewu,Lampung,LANSIA,2
Kab. Pringsewu,Lampung,PEDAGANG PASAR,1
Kab. Pringsewu,Lampung,LANSIA,6
Kab. Pringsewu,Lampung,LANSIA,4
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,26
Kab. Pringsewu,Lampung,PENDIDIK,1
Kab. Pringsewu,Lampung,PENDIDIK,8
Kab. Pringsewu,Lampung,PENDIDIK,31
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,26
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,2
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,60
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,1
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,3
Kab. Pringsewu,Lampung,Menunggu Konfirmasi,13
Kab. Pringsewu,Lampung,TRANSPORTASI PUBLIK,2
Kab. Pringsewu,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pringsewu,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pringsewu,Lampung,PELAYAN PUBLIK,10
Kab. Pringsewu,Lampung,LANSIA,2
Kab. Pringsewu,Lampung,LANSIA,1
Kab. Pringsewu,Lampung,LANSIA,2
