Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,KEAMANAN,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,Lampung,2
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,BUMN,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Mesuji,PENDIDIK,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,LANSIA,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,PELAYAN PUBLIK,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Pesawaran,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,Lampung,4
PETUGAS PUBLIK,Lampung,Kab. Way Kanan,KEAMANAN,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PENYULUH AGAMA,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PEGAWAI PEMERINTAH,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,POLRI,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang,SDM KESEHATAN,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang,BUMN,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang Barat,BUMN,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,BUMN,Lampung,4
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PARIWISATA,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Tanggamus,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,PENDIDIK,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,TNI,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,POLRI,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Way Kanan,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Mesuji,POLRI,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PELAYAN PUBLIK,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PELAYAN PUBLIK,Lampung,4
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,PELAYAN PUBLIK,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,ATLIT,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,LANSIA,Lampung,11
PETUGAS PUBLIK,Lampung,Kab. Tanggamus,PEGAWAI PEMERINTAH,Lampung,2
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,149
PETUGAS PUBLIK,Lampung,Kab. Mesuji,PEGAWAI PEMERINTAH,Lampung,24
PETUGAS PUBLIK,Lampung,Kab. Pesisir Barat,PENDIDIK,Lampung,6
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang,PENDIDIK,Lampung,10
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PENDIDIK,Lampung,11
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,KEAMANAN,Lampung,3
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,KEAMANAN,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang,KEAMANAN,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PEGAWAI PEMERINTAH,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,4
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PENDIDIK,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PENDIDIK,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Mesuji,PENDIDIK,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PEGAWAI PEMERINTAH,Lampung,6
PETUGAS PUBLIK,Lampung,Kota Metro,PEGAWAI PEMERINTAH,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,PEGAWAI PEMERINTAH,Lampung,12
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PEGAWAI PEMERINTAH,Lampung,7
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,141
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,PEGAWAI PEMERINTAH,Lampung,26
PETUGAS PUBLIK,Lampung,Kab. Mesuji,PEGAWAI PEMERINTAH,Lampung,14
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,PENDIDIK,Lampung,57
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PENDIDIK,Lampung,70
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,PENDIDIK,Lampung,39
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,PENDIDIK,Lampung,50
PETUGAS PUBLIK,Lampung,Kab. Tanggamus,PENDIDIK,Lampung,114
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang,PENDIDIK,Lampung,14
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang Barat,PENDIDIK,Lampung,17
PETUGAS PUBLIK,Lampung,Kab. Pesisir Barat,POLRI,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,POLRI,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,POLRI,Lampung,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,Lampung,1
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,Lampung,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,Lampung,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,PEGAWAI PEMERINTAH,Lampung,0
