Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,2
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,7
Kab. Tulang Bawang Barat,Lampung,BUMN,7
Kab. Tulang Bawang Barat,Lampung,LANSIA,2
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,2
Kab. Tulang Bawang Barat,Lampung,TNI,3
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,3
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,1
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,0
Kab. Tulang Bawang Barat,Lampung,TNI,1
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,3
Kab. Tulang Bawang Barat,Lampung,LANSIA,15
Kab. Tulang Bawang Barat,Lampung,LANSIA,8
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,221
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,16
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,5
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,16
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,15
Kab. Tulang Bawang Barat,Lampung,TNI,1
Kab. Tulang Bawang Barat,Lampung,TNI,0
Kab. Tulang Bawang Barat,Lampung,TNI,0
Kab. Tulang Bawang Barat,Lampung,LANSIA,5
Kab. Tulang Bawang Barat,Lampung,PEGAWAI PEMERINTAH,3
Kab. Tulang Bawang Barat,Lampung,PEGAWAI PEMERINTAH,88
Kab. Tulang Bawang Barat,Lampung,BUMN,1
Kab. Tulang Bawang Barat,Lampung,BUMN,2
Kab. Tulang Bawang Barat,Lampung,LANSIA,2
Kab. Tulang Bawang Barat,Lampung,MASYARAKAT UMUM,0
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,8
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,2
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,2
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,40
Kab. Tulang Bawang Barat,Lampung,MASYARAKAT UMUM,12
Kab. Tulang Bawang Barat,Lampung,MASYARAKAT UMUM,31
Kab. Tulang Bawang Barat,Lampung,MASYARAKAT UMUM,1
Kab. Tulang Bawang Barat,Lampung,MASYARAKAT UMUM,0
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,51
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,12
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,20
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,2
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,0
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,2
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,0
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,1
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,67
Kab. Tulang Bawang Barat,Lampung,Menunggu Konfirmasi,66
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,52
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,6
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,4
Kab. Tulang Bawang Barat,Lampung,PENDIDIK,29
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,2
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,LANSIA,1
Kab. Tulang Bawang Barat,Lampung,LANSIA,2
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,0
Kab. Tulang Bawang Barat,Lampung,SDM KESEHATAN,1
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,20
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,72
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,23
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,8
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,8
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,80
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,76
Kab. Tulang Bawang Barat,Lampung,PELAYAN PUBLIK,30
