Kab/kota,Provinsi,Kategori,Divaksin 1
Kota Metro,Lampung,LANSIA,35
Kota Metro,Lampung,SDM KESEHATAN,25
Kota Metro,Lampung,LANSIA,8
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PENDIDIK,25
Kota Metro,Lampung,BUMN,1
Kota Metro,Lampung,PENDIDIK,8
Kota Metro,Lampung,PENDIDIK,1
Kota Metro,Lampung,PENDIDIK,2
Kota Metro,Lampung,BUMN,9
Kota Metro,Lampung,PEDAGANG PASAR,1
Kota Metro,Lampung,LANSIA,13
Kota Metro,Lampung,PEDAGANG PASAR,1
Kota Metro,Lampung,PEDAGANG PASAR,3
Kota Metro,Lampung,PEDAGANG PASAR,48
Kota Metro,Lampung,Menunggu Konfirmasi,0
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,PELAYAN PUBLIK,7
Kota Metro,Lampung,Menunggu Konfirmasi,446
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,36
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,BUMN,25
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,36
Kota Metro,Lampung,PELAYAN PUBLIK,18
Kota Metro,Lampung,BUMN,0
Kota Metro,Lampung,BUMN,0
Kota Metro,Lampung,BUMN,10
Kota Metro,Lampung,PEDAGANG PASAR,0
Kota Metro,Lampung,BUMN,23
Kota Metro,Lampung,BUMN,3
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PENDIDIK,0
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,Menunggu Konfirmasi,23
Kota Metro,Lampung,Menunggu Konfirmasi,2553
Kota Metro,Lampung,PEGAWAI PEMERINTAH,2
Kota Metro,Lampung,PENDIDIK,25
Kota Metro,Lampung,PENDIDIK,3
Kota Metro,Lampung,PENDIDIK,0
Kota Metro,Lampung,PENDIDIK,0
Kota Metro,Lampung,PENDIDIK,2
Kota Metro,Lampung,PENDIDIK,0
Kota Metro,Lampung,PENDIDIK,18
Kota Metro,Lampung,PEGAWAI PEMERINTAH,8
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,4
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,4
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,PELAYAN PUBLIK,6
Kota Metro,Lampung,PELAYAN PUBLIK,30
Kota Metro,Lampung,PELAYAN PUBLIK,76
Kota Metro,Lampung,TNI,0
Kota Metro,Lampung,PELAYAN PUBLIK,14
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PELAYAN PUBLIK,55
Kota Metro,Lampung,PELAYAN PUBLIK,92
Kota Metro,Lampung,PELAYAN PUBLIK,93
Kota Metro,Lampung,PELAYAN PUBLIK,39
Kota Metro,Lampung,PENYULUH AGAMA,0
Kota Metro,Lampung,SDM KESEHATAN,3
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,POLRI,79
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,4
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,Menunggu Konfirmasi,25
Kota Metro,Lampung,Menunggu Konfirmasi,22
Kota Metro,Lampung,Menunggu Konfirmasi,27
Kota Metro,Lampung,PEDAGANG PASAR,1
Kota Metro,Lampung,PEDAGANG PASAR,0
Kota Metro,Lampung,PEDAGANG PASAR,0
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,3
Kota Metro,Lampung,TNI,25
Kota Metro,Lampung,PEDAGANG PASAR,7
Kota Metro,Lampung,PELAYAN PUBLIK,12
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PELAYAN PUBLIK,20
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,3
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,PELAYAN PUBLIK,57
Kota Metro,Lampung,PELAYAN PUBLIK,53
Kota Metro,Lampung,PELAYAN PUBLIK,20
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,7
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,30
Kota Metro,Lampung,PEGAWAI PEMERINTAH,2
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,3
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,86
Kota Metro,Lampung,PEGAWAI PEMERINTAH,5
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,PENYULUH AGAMA,1
Kota Metro,Lampung,PENYULUH AGAMA,2
Kota Metro,Lampung,TRANSPORTASI PUBLIK,6
Kota Metro,Lampung,WARTAWAN DAN PEKERJA MEDIA,1
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,MASYARAKAT UMUM,5
Kota Metro,Lampung,MASYARAKAT UMUM,5
Kota Metro,Lampung,POLRI,64
Kota Metro,Lampung,POLRI,4
Kota Metro,Lampung,POLRI,1
Kota Metro,Lampung,POLRI,68
Kota Metro,Lampung,POLRI,9
Kota Metro,Lampung,POLRI,1
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,LANSIA,48
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,55
Kota Metro,Lampung,LANSIA,62
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,PELAYAN PUBLIK,2
Kota Metro,Lampung,PELAYAN PUBLIK,19
Kota Metro,Lampung,PELAYAN PUBLIK,3
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,8
Kota Metro,Lampung,PELAYAN PUBLIK,5
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,18
Kota Metro,Lampung,LANSIA,26
Kota Metro,Lampung,LANSIA,17
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,48
Kota Metro,Lampung,PEGAWAI PEMERINTAH,27
Kota Metro,Lampung,PEGAWAI PEMERINTAH,20
Kota Metro,Lampung,PEGAWAI PEMERINTAH,20
Kota Metro,Lampung,PEGAWAI PEMERINTAH,13
Kota Metro,Lampung,PEGAWAI PEMERINTAH,1
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,SDM KESEHATAN,10
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,8
Kota Metro,Lampung,Menunggu Konfirmasi,12
Kota Metro,Lampung,Menunggu Konfirmasi,4
Kota Metro,Lampung,Menunggu Konfirmasi,29
Kota Metro,Lampung,Menunggu Konfirmasi,1
Kota Metro,Lampung,Menunggu Konfirmasi,2
Kota Metro,Lampung,Menunggu Konfirmasi,40
Kota Metro,Lampung,Menunggu Konfirmasi,18
Kota Metro,Lampung,BUMN,1
Kota Metro,Lampung,BUMN,0
Kota Metro,Lampung,BUMN,1
Kota Metro,Lampung,BUMN,2
Kota Metro,Lampung,BUMN,11
Kota Metro,Lampung,PENDIDIK,1
Kota Metro,Lampung,PENDIDIK,1
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,10
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,7
Kota Metro,Lampung,PELAYAN PUBLIK,0
Kota Metro,Lampung,PELAYAN PUBLIK,1
Kota Metro,Lampung,PENDIDIK,0
Kota Metro,Lampung,PEGAWAI PEMERINTAH,0
Kota Metro,Lampung,REMAJA,3
Kota Metro,Lampung,SDM KESEHATAN,68
Kota Metro,Lampung,PENYULUH AGAMA,1
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,14
Kota Metro,Lampung,LANSIA,14
Kota Metro,Lampung,LANSIA,5
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,6
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,15
Kota Metro,Lampung,SDM KESEHATAN,21
Kota Metro,Lampung,SDM KESEHATAN,5
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,SDM KESEHATAN,9
Kota Metro,Lampung,SDM KESEHATAN,29
Kota Metro,Lampung,SDM KESEHATAN,6
Kota Metro,Lampung,SDM KESEHATAN,9
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,SDM KESEHATAN,3
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,15
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,7
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,26
Kota Metro,Lampung,SDM KESEHATAN,6
Kota Metro,Lampung,SDM KESEHATAN,3
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,SDM KESEHATAN,8
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,1
Kota Metro,Lampung,SDM KESEHATAN,4
Kota Metro,Lampung,SDM KESEHATAN,0
Kota Metro,Lampung,SDM KESEHATAN,2
Kota Metro,Lampung,POLRI,2
Kota Metro,Lampung,Menunggu Konfirmasi,23
Kota Metro,Lampung,Menunggu Konfirmasi,4
Kota Metro,Lampung,PENDIDIK,3
Kota Metro,Lampung,LANSIA,5
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,5
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,19
Kota Metro,Lampung,LANSIA,8
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,0
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,2
Kota Metro,Lampung,LANSIA,1
Kota Metro,Lampung,LANSIA,3
Kota Metro,Lampung,LANSIA,1
