Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,3
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Tengah,Lampung,MASYARAKAT UMUM,33
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Tengah,Lampung,MASYARAKAT UMUM,20
Kab. Lampung Tengah,Lampung,MASYARAKAT UMUM,64
Kab. Lampung Tengah,Lampung,PEGAWAI PEMERINTAH,6
Kab. Lampung Tengah,Lampung,MASYARAKAT RENTAN,0
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,4
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,2
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,1
Kab. Lampung Tengah,Lampung,LANSIA,1
Kab. Lampung Tengah,Lampung,PELAYAN PUBLIK,1
Kab. Lampung Tengah,Lampung,PENYULUH AGAMA,3
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,2
Kab. Lampung Tengah,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Tengah,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Tengah,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,3
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,1
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,3
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Tengah,Lampung,Menunggu Konfirmasi,599
Kab. Lampung Tengah,Lampung,LANSIA,0
Kab. Lampung Tengah,Lampung,PENYULUH AGAMA,1
Kab. Lampung Tengah,Lampung,PENYULUH AGAMA,1
Kab. Lampung Tengah,Lampung,PENYULUH AGAMA,12
Kab. Lampung Tengah,Lampung,LANSIA,3
Kab. Lampung Tengah,Lampung,PARIWISATA,1
Kab. Lampung Tengah,Lampung,TRANSPORTASI PUBLIK,1
Kab. Lampung Tengah,Lampung,WNA(PNA/OI),3
Kab. Lampung Tengah,Lampung,SDM KESEHATAN,3
Kab. Lampung Tengah,Lampung,PEGAWAI PEMERINTAH,0
