Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Barat,Lampung,LANSIA,5
Kab. Lampung Barat,Lampung,POLRI,0
Kab. Lampung Barat,Lampung,BUMN,6
Kab. Lampung Barat,Lampung,PENDIDIK,16
Kab. Lampung Barat,Lampung,POLRI,0
Kab. Lampung Barat,Lampung,SDM KESEHATAN,0
Kab. Lampung Barat,Lampung,MASYARAKAT UMUM,4
Kab. Lampung Barat,Lampung,PENDIDIK,3
Kab. Lampung Barat,Lampung,PENDIDIK,21
Kab. Lampung Barat,Lampung,PENDIDIK,156
Kab. Lampung Barat,Lampung,LANSIA,7
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Barat,Lampung,LANSIA,2
Kab. Lampung Barat,Lampung,PEGAWAI PEMERINTAH,8
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,7
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,23
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Barat,Lampung,PENDIDIK,1
Kab. Lampung Barat,Lampung,BUMN,2
Kab. Lampung Barat,Lampung,SDM KESEHATAN,0
Kab. Lampung Barat,Lampung,KEAMANAN,1
Kab. Lampung Barat,Lampung,PENYULUH AGAMA,7
Kab. Lampung Barat,Lampung,LANSIA,1
Kab. Lampung Barat,Lampung,PENYULUH AGAMA,3
Kab. Lampung Barat,Lampung,SDM KESEHATAN,1
Kab. Lampung Barat,Lampung,PENDIDIK,1
Kab. Lampung Barat,Lampung,PENDIDIK,1
Kab. Lampung Barat,Lampung,PENDIDIK,6
Kab. Lampung Barat,Lampung,PELAYAN PUBLIK,1
Kab. Lampung Barat,Lampung,TNI,1
Kab. Lampung Barat,Lampung,SDM KESEHATAN,2
Kab. Lampung Barat,Lampung,SDM KESEHATAN,1
Kab. Lampung Barat,Lampung,SDM KESEHATAN,3
Kab. Lampung Barat,Lampung,SDM KESEHATAN,0
Kab. Lampung Barat,Lampung,PENYULUH AGAMA,0
Kab. Lampung Barat,Lampung,POLRI,0
Kab. Lampung Barat,Lampung,POLRI,0
Kab. Lampung Barat,Lampung,LANSIA,1
Kab. Lampung Barat,Lampung,LANSIA,2
Kab. Lampung Barat,Lampung,LANSIA,14
Kab. Lampung Barat,Lampung,LANSIA,1
Kab. Lampung Barat,Lampung,TNI,0
Kab. Lampung Barat,Lampung,TNI,0
Kab. Lampung Barat,Lampung,TRANSPORTASI PUBLIK,1
Kab. Lampung Barat,Lampung,KEAMANAN,5
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,131
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,27
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,4
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,16
Kab. Lampung Barat,Lampung,Menunggu Konfirmasi,11
Kab. Lampung Barat,Lampung,PEDAGANG PASAR,0
Kab. Lampung Barat,Lampung,PEGAWAI PEMERINTAH,3
Kab. Lampung Barat,Lampung,PEGAWAI PEMERINTAH,1
