Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Pesisir Barat,Lampung,LANSIA,0
Kab. Pesisir Barat,Lampung,LANSIA,21
Kab. Pesisir Barat,Lampung,LANSIA,1
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,10
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,4
Kab. Pesisir Barat,Lampung,LANSIA,24
Kab. Pesisir Barat,Lampung,LANSIA,8
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,4
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,2
Kab. Pesisir Barat,Lampung,LANSIA,3
Kab. Pesisir Barat,Lampung,LANSIA,1
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,2
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,6
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,3
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,43
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesisir Barat,Lampung,BUMN,0
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,0
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,51
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,9
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,1
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,1
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,15
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,11
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesisir Barat,Lampung,LANSIA,3
Kab. Pesisir Barat,Lampung,LANSIA,1
Kab. Pesisir Barat,Lampung,LANSIA,0
Kab. Pesisir Barat,Lampung,LANSIA,0
Kab. Pesisir Barat,Lampung,LANSIA,1
Kab. Pesisir Barat,Lampung,LANSIA,0
Kab. Pesisir Barat,Lampung,POLRI,1
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,2
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,1
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,1
Kab. Pesisir Barat,Lampung,PEDAGANG PASAR,1
Kab. Pesisir Barat,Lampung,PENDIDIK,3
Kab. Pesisir Barat,Lampung,LANSIA,3
Kab. Pesisir Barat,Lampung,PENDIDIK,1
Kab. Pesisir Barat,Lampung,TNI,1
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,7
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesisir Barat,Lampung,BUMN,0
Kab. Pesisir Barat,Lampung,BUMN,1
Kab. Pesisir Barat,Lampung,BUMN,2
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,1
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,53
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,28
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,16
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,27
Kab. Pesisir Barat,Lampung,PENDIDIK,0
Kab. Pesisir Barat,Lampung,PENDIDIK,8
Kab. Pesisir Barat,Lampung,PENDIDIK,1
Kab. Pesisir Barat,Lampung,POLRI,2
Kab. Pesisir Barat,Lampung,POLRI,0
Kab. Pesisir Barat,Lampung,POLRI,4
Kab. Pesisir Barat,Lampung,TNI,0
Kab. Pesisir Barat,Lampung,TNI,0
Kab. Pesisir Barat,Lampung,TNI,2
Kab. Pesisir Barat,Lampung,PENYULUH AGAMA,0
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,0
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,0
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,34
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,12
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,2
Kab. Pesisir Barat,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesisir Barat,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesisir Barat,Lampung,TRANSPORTASI PUBLIK,2
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,15
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,4
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,18
Kab. Pesisir Barat,Lampung,LANSIA,7
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,1
Kab. Pesisir Barat,Lampung,PELAYAN PUBLIK,8
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,401
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,256
Kab. Pesisir Barat,Lampung,PEDAGANG PASAR,0
Kab. Pesisir Barat,Lampung,LANSIA,2
Kab. Pesisir Barat,Lampung,LANSIA,2
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,1
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,2
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,21
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,1
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,0
Kab. Pesisir Barat,Lampung,BUMN,3
Kab. Pesisir Barat,Lampung,LANSIA,1
Kab. Pesisir Barat,Lampung,LANSIA,0
Kab. Pesisir Barat,Lampung,SDM KESEHATAN,0
Kab. Pesisir Barat,Lampung,PENDIDIK,4
Kab. Pesisir Barat,Lampung,PENDIDIK,5
Kab. Pesisir Barat,Lampung,PENDIDIK,24
Kab. Pesisir Barat,Lampung,PENDIDIK,1
Kab. Pesisir Barat,Lampung,PENDIDIK,12
Kab. Pesisir Barat,Lampung,PENDIDIK,5
Kab. Pesisir Barat,Lampung,PENDIDIK,8
Kab. Pesisir Barat,Lampung,PENDIDIK,7
Kab. Pesisir Barat,Lampung,PENDIDIK,6
Kab. Pesisir Barat,Lampung,PENDIDIK,18
Kab. Pesisir Barat,Lampung,PENDIDIK,22
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,6
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,28
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,34
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,49
Kab. Pesisir Barat,Lampung,PEGAWAI PEMERINTAH,12
Kab. Pesisir Barat,Lampung,PENDIDIK,3
Kab. Pesisir Barat,Lampung,PENYULUH AGAMA,9
Kab. Pesisir Barat,Lampung,PENYULUH AGAMA,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,1
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,0
Kab. Pesisir Barat,Lampung,Menunggu Konfirmasi,2
