Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,KEAMANAN,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,ATLIT,2
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,TRANSPORTASI PUBLIK,4
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,PENYULUH AGAMA,2
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PENDIDIK,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,ATLIT,0
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,ATLIT,25
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,ATLIT,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,PENDIDIK,65
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,ATLIT,1
PETUGAS PUBLIK,Lampung,Kab. Way Kanan,PENDIDIK,267
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PENDIDIK,267
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,PENDIDIK,324
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,117
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,ATLIT,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,PEGAWAI PEMERINTAH,18
PETUGAS PUBLIK,Lampung,Kab. Tanggamus,PEGAWAI PEMERINTAH,82
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PARIWISATA,0
PETUGAS PUBLIK,Lampung,Kab. Pesawaran,Menunggu Konfirmasi,54
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,Menunggu Konfirmasi,26
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,1192
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,PEGAWAI PEMERINTAH,28
PETUGAS PUBLIK,Lampung,Kab. Mesuji,PEGAWAI PEMERINTAH,8
PETUGAS PUBLIK,Lampung,Kab. Pesisir Barat,PEGAWAI PEMERINTAH,1
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,PEGAWAI PEMERINTAH,57
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang Barat,PEGAWAI PEMERINTAH,3
PETUGAS PUBLIK,Lampung,Kota Metro,PEGAWAI PEMERINTAH,36
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PEGAWAI PEMERINTAH,67
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,Menunggu Konfirmasi,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,Menunggu Konfirmasi,89
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,Menunggu Konfirmasi,1
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,5
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,Menunggu Konfirmasi,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,POLRI,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,PENDIDIK,162
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,PENDIDIK,224
PETUGAS PUBLIK,Lampung,Kab. Pesawaran,PENDIDIK,159
PETUGAS PUBLIK,Lampung,Kab. Pesawaran,PENDIDIK,133
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,PENYULUH AGAMA,0
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,PENYULUH AGAMA,3
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,PENYULUH AGAMA,2
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,BUMD,9
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Barat,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Selatan,POLRI,21
PETUGAS PUBLIK,Lampung,Kab. Way Kanan,Menunggu Konfirmasi,65
PETUGAS PUBLIK,Lampung,Kab. Mesuji,POLRI,90
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,POLRI,4
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Way Kanan,POLRI,7
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,POLRI,0
PETUGAS PUBLIK,Lampung,Kab. Mesuji,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Pringsewu,POLRI,2
PETUGAS PUBLIK,Lampung,Kab. Tulang Bawang Barat,POLRI,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Tengah,Menunggu Konfirmasi,1
PETUGAS PUBLIK,Lampung,Kab. Lampung Utara,Menunggu Konfirmasi,0
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,3
PETUGAS PUBLIK,Lampung,Kota Metro,Menunggu Konfirmasi,4
PETUGAS PUBLIK,Lampung,Kota Bandar Lampung,Menunggu Konfirmasi,6
PETUGAS PUBLIK,Lampung,Kab. Lampung Timur,Menunggu Konfirmasi,1
