Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Tulang Bawang,Lampung,LANSIA,9
Kab. Tulang Bawang,Lampung,PENDIDIK,3
Kab. Tulang Bawang,Lampung,LANSIA,0
Kab. Tulang Bawang,Lampung,PEDAGANG PASAR,0
Kab. Tulang Bawang,Lampung,PEGAWAI PEMERINTAH,2
Kab. Tulang Bawang,Lampung,SDM KESEHATAN,2
Kab. Tulang Bawang,Lampung,BUMN,3
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,0
Kab. Tulang Bawang,Lampung,PENDIDIK,0
Kab. Tulang Bawang,Lampung,PENDIDIK,1
Kab. Tulang Bawang,Lampung,PENDIDIK,0
Kab. Tulang Bawang,Lampung,PEDAGANG PASAR,0
Kab. Tulang Bawang,Lampung,PEDAGANG PASAR,2
Kab. Tulang Bawang,Lampung,PEDAGANG PASAR,17
Kab. Tulang Bawang,Lampung,PEGAWAI PEMERINTAH,12
Kab. Tulang Bawang,Lampung,PEGAWAI PEMERINTAH,3
Kab. Tulang Bawang,Lampung,PEGAWAI PEMERINTAH,7
Kab. Tulang Bawang,Lampung,PELAYAN PUBLIK,8
Kab. Tulang Bawang,Lampung,TNI,1
Kab. Tulang Bawang,Lampung,TNI,0
Kab. Tulang Bawang,Lampung,TNI,0
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,91
Kab. Tulang Bawang,Lampung,PELAYAN PUBLIK,2
Kab. Tulang Bawang,Lampung,LANSIA,6
Kab. Tulang Bawang,Lampung,PEGAWAI PEMERINTAH,35
Kab. Tulang Bawang,Lampung,BUMN,1
Kab. Tulang Bawang,Lampung,BUMN,0
Kab. Tulang Bawang,Lampung,BUMN,0
Kab. Tulang Bawang,Lampung,LANSIA,22
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,236
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,874
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,0
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,6
Kab. Tulang Bawang,Lampung,Menunggu Konfirmasi,31
