Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Tanggamus,Lampung,LANSIA,55
Kab. Tanggamus,Lampung,Menunggu Konfirmasi,490
Kab. Tanggamus,Lampung,LANSIA,0
Kab. Tanggamus,Lampung,KEAMANAN,4
Kab. Tanggamus,Lampung,LANSIA,23
Kab. Tanggamus,Lampung,LANSIA,17
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,36
Kab. Tanggamus,Lampung,PENDIDIK,1
Kab. Tanggamus,Lampung,LANSIA,1
Kab. Tanggamus,Lampung,Menunggu Konfirmasi,0
Kab. Tanggamus,Lampung,SDM KESEHATAN,1
Kab. Tanggamus,Lampung,Menunggu Konfirmasi,1
Kab. Tanggamus,Lampung,Menunggu Konfirmasi,79
Kab. Tanggamus,Lampung,Menunggu Konfirmasi,31
Kab. Tanggamus,Lampung,KEAMANAN,141
Kab. Tanggamus,Lampung,KEAMANAN,0
Kab. Tanggamus,Lampung,KEAMANAN,1
Kab. Tanggamus,Lampung,WARTAWAN DAN PEKERJA MEDIA,15
Kab. Tanggamus,Lampung,BUMN,0
Kab. Tanggamus,Lampung,KEAMANAN,1
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,21
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,21
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,10
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,89
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,72
Kab. Tanggamus,Lampung,PELAYAN PUBLIK,16
Kab. Tanggamus,Lampung,BUMN,3
Kab. Tanggamus,Lampung,BUMN,10
Kab. Tanggamus,Lampung,BUMN,3
Kab. Tanggamus,Lampung,PEGAWAI PEMERINTAH,1
Kab. Tanggamus,Lampung,SDM KESEHATAN,10
Kab. Tanggamus,Lampung,SDM KESEHATAN,1
Kab. Tanggamus,Lampung,SDM KESEHATAN,2
Kab. Tanggamus,Lampung,PENDIDIK,3
Kab. Tanggamus,Lampung,PENDIDIK,1
Kab. Tanggamus,Lampung,PENDIDIK,5
