Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Timur,Lampung,LANSIA,3
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,3
Kab. Lampung Timur,Lampung,LANSIA,8
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,6
Kab. Lampung Timur,Lampung,LANSIA,3
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,2
Kab. Lampung Timur,Lampung,LANSIA,2
Kab. Lampung Timur,Lampung,LANSIA,3
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,9
Kab. Lampung Timur,Lampung,LANSIA,26
Kab. Lampung Timur,Lampung,LANSIA,6
Kab. Lampung Timur,Lampung,LANSIA,13
Kab. Lampung Timur,Lampung,LANSIA,4
Kab. Lampung Timur,Lampung,LANSIA,10
Kab. Lampung Timur,Lampung,LANSIA,26
Kab. Lampung Timur,Lampung,LANSIA,16
Kab. Lampung Timur,Lampung,LANSIA,50
Kab. Lampung Timur,Lampung,LANSIA,6
Kab. Lampung Timur,Lampung,LANSIA,24
Kab. Lampung Timur,Lampung,LANSIA,13
Kab. Lampung Timur,Lampung,LANSIA,54
Kab. Lampung Timur,Lampung,LANSIA,48
Kab. Lampung Timur,Lampung,LANSIA,33
Kab. Lampung Timur,Lampung,LANSIA,37
Kab. Lampung Timur,Lampung,LANSIA,46
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,73
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,88
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,73
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,83
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,32
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,433
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,162
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,71
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,217
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,204
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,219
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,151
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,290
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,3
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,288
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,390
Kab. Lampung Timur,Lampung,Menunggu Konfirmasi,6
Kab. Lampung Timur,Lampung,BUMN,1
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,BUMN,1
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,1
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,BUMN,3
Kab. Lampung Timur,Lampung,BUMN,1
Kab. Lampung Timur,Lampung,BUMN,0
Kab. Lampung Timur,Lampung,BUMN,6
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,LANSIA,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,6
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,2
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,8
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,2
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,1
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,4
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,2
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,2
Kab. Lampung Timur,Lampung,PEJABAT NEGARA,0
Kab. Lampung Timur,Lampung,PELAYAN PUBLIK,1
Kab. Lampung Timur,Lampung,PENYULUH AGAMA,1
Kab. Lampung Timur,Lampung,PENDIDIK,115
Kab. Lampung Timur,Lampung,LANSIA,1
Kab. Lampung Timur,Lampung,BUMN,2
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,3
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,3
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,6
Kab. Lampung Timur,Lampung,PENYULUH AGAMA,2
Kab. Lampung Timur,Lampung,PELAYAN PUBLIK,40
Kab. Lampung Timur,Lampung,PELAYAN PUBLIK,22
Kab. Lampung Timur,Lampung,PELAYAN PUBLIK,7
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,42
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,5
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEDAGANG PASAR,0
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,21
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,29
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Timur,Lampung,PEGAWAI PEMERINTAH,49
