Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Pesawaran,Lampung,LANSIA,12
Kab. Pesawaran,Lampung,LANSIA,6
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,PENDIDIK,1
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,KEAMANAN,2
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,3
Kab. Pesawaran,Lampung,LANSIA,12
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,90
Kab. Pesawaran,Lampung,PARIWISATA,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,78
Kab. Pesawaran,Lampung,PEDAGANG PASAR,2
Kab. Pesawaran,Lampung,BUMN,0
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,0
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,KEAMANAN,6
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,3
Kab. Pesawaran,Lampung,PEDAGANG PASAR,56
Kab. Pesawaran,Lampung,PEDAGANG PASAR,59
Kab. Pesawaran,Lampung,PEDAGANG PASAR,2
Kab. Pesawaran,Lampung,LANSIA,6
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,54
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,88
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,97
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,39
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,2
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,13
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,6
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,88
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,14
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,80
Kab. Pesawaran,Lampung,PENDIDIK,18
Kab. Pesawaran,Lampung,PENDIDIK,105
Kab. Pesawaran,Lampung,PENDIDIK,34
Kab. Pesawaran,Lampung,KEAMANAN,0
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,6
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,96
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,2
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,0
Kab. Pesawaran,Lampung,LANSIA,15
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,4
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,70
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,TNI,33
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,KEAMANAN,0
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,PARIWISATA,1
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,16
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,28
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,PEDAGANG PASAR,0
Kab. Pesawaran,Lampung,PEDAGANG PASAR,1
Kab. Pesawaran,Lampung,PEDAGANG PASAR,1
Kab. Pesawaran,Lampung,PEDAGANG PASAR,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,2
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,33
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,3
Kab. Pesawaran,Lampung,TNI,2
Kab. Pesawaran,Lampung,TNI,117
Kab. Pesawaran,Lampung,TNI,89
Kab. Pesawaran,Lampung,LANSIA,5
Kab. Pesawaran,Lampung,LANSIA,10
Kab. Pesawaran,Lampung,LANSIA,5
Kab. Pesawaran,Lampung,LANSIA,16
Kab. Pesawaran,Lampung,LANSIA,41
Kab. Pesawaran,Lampung,LANSIA,15
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,0
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,0
Kab. Pesawaran,Lampung,TRANSPORTASI PUBLIK,1
Kab. Pesawaran,Lampung,WAKIL RAKYAT,1
Kab. Pesawaran,Lampung,PENDIDIK,0
Kab. Pesawaran,Lampung,PEDAGANG PASAR,4
Kab. Pesawaran,Lampung,BUMN,0
Kab. Pesawaran,Lampung,BUMN,0
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,PENDIDIK,11
Kab. Pesawaran,Lampung,PENDIDIK,2
Kab. Pesawaran,Lampung,PENDIDIK,60
Kab. Pesawaran,Lampung,PENDIDIK,116
Kab. Pesawaran,Lampung,PENDIDIK,129
Kab. Pesawaran,Lampung,PENDIDIK,4
Kab. Pesawaran,Lampung,PENDIDIK,24
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,KEAMANAN,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,4
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,1
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,3
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,1
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,1
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,0
Kab. Pesawaran,Lampung,PENDIDIK,1
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,POLRI,1
Kab. Pesawaran,Lampung,POLRI,10
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,3
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,2
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,3
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,0
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,36
Kab. Pesawaran,Lampung,LANSIA,35
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,3
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,PARIWISATA,1
Kab. Pesawaran,Lampung,PEDAGANG PASAR,0
Kab. Pesawaran,Lampung,PEDAGANG PASAR,2
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,PENYULUH AGAMA,1
Kab. Pesawaran,Lampung,PENYULUH AGAMA,0
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,POLRI,3
Kab. Pesawaran,Lampung,POLRI,3
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,BUMN,1
Kab. Pesawaran,Lampung,LANSIA,15
Kab. Pesawaran,Lampung,LANSIA,19
Kab. Pesawaran,Lampung,LANSIA,2
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,0
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,2
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,11
Kab. Pesawaran,Lampung,PEDAGANG PASAR,0
Kab. Pesawaran,Lampung,SDM KESEHATAN,1
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,8
Kab. Pesawaran,Lampung,PENDIDIK,4
Kab. Pesawaran,Lampung,REMAJA,1
Kab. Pesawaran,Lampung,TNI,37
Kab. Pesawaran,Lampung,TNI,1
Kab. Pesawaran,Lampung,TNI,4
Kab. Pesawaran,Lampung,TNI,0
Kab. Pesawaran,Lampung,TNI,7
Kab. Pesawaran,Lampung,POLRI,4
Kab. Pesawaran,Lampung,POLRI,0
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,5
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,3
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,27
Kab. Pesawaran,Lampung,PELAYAN PUBLIK,26
Kab. Pesawaran,Lampung,KEAMANAN,1
Kab. Pesawaran,Lampung,KEAMANAN,4
Kab. Pesawaran,Lampung,KEAMANAN,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,22
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,5
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,5
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,28
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,38
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,56
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,10
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,2
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,1
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,0
Kab. Pesawaran,Lampung,LANSIA,5
Kab. Pesawaran,Lampung,LANSIA,85
Kab. Pesawaran,Lampung,LANSIA,39
Kab. Pesawaran,Lampung,LANSIA,95
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,3
Kab. Pesawaran,Lampung,LANSIA,50
Kab. Pesawaran,Lampung,LANSIA,90
Kab. Pesawaran,Lampung,LANSIA,43
Kab. Pesawaran,Lampung,LANSIA,14
Kab. Pesawaran,Lampung,LANSIA,25
Kab. Pesawaran,Lampung,LANSIA,29
Kab. Pesawaran,Lampung,LANSIA,1
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,PARIWISATA,0
Kab. Pesawaran,Lampung,PEDAGANG PASAR,4
Kab. Pesawaran,Lampung,PEDAGANG PASAR,0
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,19
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,13
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,6
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,1
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,4
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,75
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,50
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,28
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,24
Kab. Pesawaran,Lampung,Menunggu Konfirmasi,74
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,LANSIA,0
Kab. Pesawaran,Lampung,MASYARAKAT UMUM,7
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,3
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,1
Kab. Pesawaran,Lampung,PEGAWAI PEMERINTAH,5
Kab. Pesawaran,Lampung,PENYULUH AGAMA,1
